EP, 02, 2021053006, IN, IVCN,  24,     ,      ,  68,  35,   ,    9, 
EP, 02, 2021053006, IN, IVCN,  36,     ,      ,  68,  40,   ,   11, 
EP, 02, 2021053006, IN, IVCN,  48,     ,      ,  68,  44,   ,   13, 
EP, 02, 2021053006, IN, IVCN,  60,     ,      ,  68,  44,   ,   14, 
EP, 02, 2021053006, IN, IVCN,  72,     ,      ,  68,  42,   ,   15, 
EP, 02, 2021053006, IN, IVCN,  96,     ,      ,  68,  37,   ,   11, 
EP, 02, 2021053006, IN, IVCN, 120,     ,      ,  68,  34,   ,   12, 
EP, 02, 2021053006, RI, DTPE,  12, 100N, 1015W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053006, RI, DTPE,  24, 100N, 1015W,   0,  25,  50,    ,            0,           24, 
EP, 02, 2021053006, RI, DTPE,  24, 100N, 1015W,   0,  30,  55,    ,            0,           24, 
EP, 02, 2021053006, RI, DTPE,  24, 100N, 1015W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053006, RI, DTPE,  24, 100N, 1015W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053006, RI, DTPE,  36, 100N, 1015W,   0,  45,  70,    ,            0,           36, 
EP, 02, 2021053006, RI, DTPE,  48, 100N, 1015W,   0,  55,  80,    ,            0,           48, 
EP, 02, 2021053006, RI, DTPE,  72, 100N, 1015W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053006, RI, RIOB,  12, 100N, 1015W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053006, RI, RIOB,  24, 100N, 1015W,   2,  25,  50,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOB,  24, 100N, 1015W,   0,  30,  55,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOB,  24, 100N, 1015W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOB,  24, 100N, 1015W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOB,  36, 100N, 1015W,   0,  45,  70,    ,            0,           36, 
EP, 02, 2021053006, RI, RIOB,  48, 100N, 1015W,   0,  55,  80,    ,            0,           48, 
EP, 02, 2021053006, RI, RIOB,  72, 100N, 1015W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053006, RI, RIOC,  12, 100N, 1015W,   1,  20,  45,    ,            0,           12, 
EP, 02, 2021053006, RI, RIOC,  24, 100N, 1015W,  24,  25,  50,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOC,  24, 100N, 1015W,  13,  30,  55,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOC,  24, 100N, 1015W,   3,  35,  60,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOC,  24, 100N, 1015W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOC,  36, 100N, 1015W,  17,  45,  70,    ,            0,           36, 
EP, 02, 2021053006, RI, RIOC,  48, 100N, 1015W,  23,  55,  80,    ,            0,           48, 
EP, 02, 2021053006, RI, RIOC,  72, 100N, 1015W,   9,  65,  90,    ,            0,           72, 
EP, 02, 2021053006, RI, RIOD,  12, 100N, 1015W,   0,  20,  45,    ,            0,           12, 
EP, 02, 2021053006, RI, RIOD,  24, 100N, 1015W,  38,  25,  50,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOD,  24, 100N, 1015W,  23,  30,  55,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOD,  24, 100N, 1015W,   0,  35,  60,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOD,  24, 100N, 1015W,   0,  40,  65,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOD,  36, 100N, 1015W,  31,  45,  70,    ,            0,           36, 
EP, 02, 2021053006, RI, RIOD,  48, 100N, 1015W,  53,  55,  80,    ,            0,           48, 
EP, 02, 2021053006, RI, RIOD,  72, 100N, 1015W,   0,  65,  90,    ,            0,           72, 
EP, 02, 2021053006, RI, RIOL,  12, 100N, 1015W,   4,  20,  45,    ,            0,           12, 
EP, 02, 2021053006, RI, RIOL,  24, 100N, 1015W,  31,  25,  50,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOL,  24, 100N, 1015W,  15,  30,  55,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOL,  24, 100N, 1015W,   9,  35,  60,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOL,  24, 100N, 1015W,   1,  40,  65,    ,            0,           24, 
EP, 02, 2021053006, RI, RIOL,  36, 100N, 1015W,  19,  45,  70,    ,            0,           36, 
EP, 02, 2021053006, RI, RIOL,  48, 100N, 1015W,  15,  55,  80,    ,            0,           48, 
EP, 02, 2021053006, RI, RIOL,  72, 100N, 1015W,  27,  65,  90,    ,            0,           72, 
EP, 02, 2021053006, TR, GPCC,  12, 105N, 1034W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053006, TR, GPCC,  24, 114N, 1052W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053006, TR, GPCC,  36, 120N, 1074W,  68,   48,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053006, TR, GPCC,  48, 126N, 1093W,  68,   60,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053006, TR, GPCC,  60, 133N, 1106W,  68,   71,   ,   0,    ,    0,    0,    0,    0, 
EP, 02, 2021053006, TR, GPCC,  72, 136N, 1116W,  68,   83,   ,   0,    ,    0,    0,    0,    0, 
