EP, 07, 2021071600, RI, RIOB,  48, 106N,  980W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, RIOB,  72, 106N,  980W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, RIOC,  12, 106N,  980W,   1,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, RIOC,  24, 106N,  980W,   9,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOC,  24, 106N,  980W,   4,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOC,  24, 106N,  980W,   2,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOC,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOC,  36, 106N,  980W,   3,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, RIOC,  48, 106N,  980W,   2,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, RIOC,  72, 106N,  980W,   1,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, RIOD,  12, 106N,  980W,   0,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, RIOD,  24, 106N,  980W,   0,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOD,  24, 106N,  980W,   0,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOD,  24, 106N,  980W,   0,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOD,  24, 106N,  980W,   0,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOD,  36, 106N,  980W,   0,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, RIOD,  48, 106N,  980W,   0,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, RIOD,  72, 106N,  980W,   0,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, RI, RIOL,  12, 106N,  980W,   4,  20,  40,    ,            0,           12, 
EP, 07, 2021071600, RI, RIOL,  24, 106N,  980W,  27,  25,  45,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOL,  24, 106N,  980W,  12,  30,  50,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOL,  24, 106N,  980W,   7,  35,  55,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOL,  24, 106N,  980W,   1,  40,  60,    ,            0,           24, 
EP, 07, 2021071600, RI, RIOL,  36, 106N,  980W,   8,  45,  65,    ,            0,           36, 
EP, 07, 2021071600, RI, RIOL,  48, 106N,  980W,   6,  55,  75,    ,            0,           48, 
EP, 07, 2021071600, RI, RIOL,  72, 106N,  980W,   2,  65,  85,    ,            0,           72, 
EP, 07, 2021071600, TR, GPCC,  12, 128N, 1009W,  68,   23,   ,   0,    ,    0,    0,    0,    0, 
EP, 07, 2021071600, TR, GPCC,  24, 144N, 1046W,  68,   37,   ,   0,    ,    0,    0,    0,    0, 
