AL, 06, 2021080818, WR, RVCN,  72, 190N,  689W,  68,  38, 34,   35, 
AL, 06, 2021080818, WR, RVCN,  84, 201N,  713W,  68,  38, 34,   35, 
AL, 06, 2021080818, WR, RVCN,  96, 213N,  737W,  68,  45, 34,   52, 
AL, 06, 2021080818, WR, RVCN, 108, 222N,  760W,  68,  45, 34,   52, 
AL, 06, 2021080818, WR, RVCN, 120, 231N,  779W,  68,  63, 34,   36, 
AL, 06, 2021080818, WR, RVCN, 132, 243N,  796W,  68,  63, 34,   36, 
AL, 06, 2021080818, WR, RVCN, 144, 262N,  795W,  68,   0, 34,    5, 
AL, 06, 2021080818, WR, RVCN, 156, 277N,  801W,  68,   0, 34,    5, 
AL, 06, 2021080818, WR, RVCN, 168, 294N,  804W,  68,   0, 34,    5, 
AL, 06, 2021080900, IN, ICON,  12,     ,      ,  68,  29,   ,    4, 
AL, 06, 2021080900, IN, ICON,  24,     ,      ,  68,  33,   ,    6, 
AL, 06, 2021080900, IN, ICON,  36,     ,      ,  68,  37,   ,    8, 
AL, 06, 2021080900, IN, ICON,  48,     ,      ,  68,  39,   ,   11, 
AL, 06, 2021080900, IN, ICON,  60,     ,      ,  68,  39,   ,   13, 
AL, 06, 2021080900, IN, ICON,  72,     ,      ,  68,  33,   ,   14, 
AL, 06, 2021080900, IN, IVCN,  12,     ,      ,  68,  29,   ,    4, 
AL, 06, 2021080900, IN, IVCN,  24,     ,      ,  68,  31,   ,    6, 
