AL, 07, 2021081200, RI, DTOP,  72, 120N,  377W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081200, RI, DTPE,  12, 120N,  377W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081200, RI, DTPE,  24, 120N,  377W,   1,  25,  50,    ,            0,           24, 
AL, 07, 2021081200, RI, DTPE,  24, 120N,  377W,   0,  30,  55,    ,            0,           24, 
AL, 07, 2021081200, RI, DTPE,  24, 120N,  377W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081200, RI, DTPE,  24, 120N,  377W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081200, RI, DTPE,  36, 120N,  377W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081200, RI, DTPE,  48, 120N,  377W,   0,  55,  80,    ,            0,           48, 
AL, 07, 2021081200, RI, DTPE,  72, 120N,  377W,   0,  65,  90,    ,            0,           72, 
AL, 07, 2021081200, RI, EIOB,  12, 120N,  376W,   0,  20,  45,    ,            0,           12, 
AL, 07, 2021081200, RI, EIOB,  24, 120N,  376W,   6,  25,  50,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOB,  24, 120N,  376W,   1,  30,  55,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOB,  24, 120N,  376W,   0,  35,  60,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOB,  24, 120N,  376W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOB,  36, 120N,  376W,   0,  45,  70,    ,            0,           36, 
AL, 07, 2021081200, RI, EIOB,  48, 120N,  376W,   1,  55,  80,    ,            0,           48, 
AL, 07, 2021081200, RI, EIOB,  72, 120N,  376W,  26,  65,  90,    ,            0,           72, 
AL, 07, 2021081200, RI, EIOC,  12, 120N,  376W,   2,  20,  45,    ,            0,           12, 
AL, 07, 2021081200, RI, EIOC,  24, 120N,  376W,   9,  25,  50,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOC,  24, 120N,  376W,   5,  30,  55,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOC,  24, 120N,  376W,   3,  35,  60,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOC,  24, 120N,  376W,   0,  40,  65,    ,            0,           24, 
AL, 07, 2021081200, RI, EIOC,  36, 120N,  376W,   2,  45,  70,    ,            0,           36, 
