EP, 13, 2021082218, RI, DTPE,  24, 193N, 1076W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  24, 193N, 1076W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  24, 193N, 1076W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, DTPE,  36, 193N, 1076W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, DTPE,  48, 193N, 1076W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, DTPE,  72, 193N, 1076W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082218, RI, RIOB,  12, 193N, 1075W,   0,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, RIOB,  24, 193N, 1075W,   1,  25,  55,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOB,  24, 193N, 1075W,   0,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOB,  24, 193N, 1075W,   0,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOB,  24, 193N, 1075W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOB,  36, 193N, 1075W,   0,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, RIOB,  48, 193N, 1075W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, RIOB,  72, 193N, 1075W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082218, RI, RIOC,  12, 193N, 1075W,   9,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, RIOC,  24, 193N, 1075W,  20,  25,  55,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOC,  24, 193N, 1075W,  13,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOC,  24, 193N, 1075W,   7,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOC,  24, 193N, 1075W,   1,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOC,  36, 193N, 1075W,   6,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, RIOC,  48, 193N, 1075W,   4,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, RIOC,  72, 193N, 1075W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082218, RI, RIOD,  12, 193N, 1075W,  10,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, RIOD,  24, 193N, 1075W,  22,  25,  55,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOD,  24, 193N, 1075W,  17,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOD,  24, 193N, 1075W,  16,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOD,  24, 193N, 1075W,   0,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOD,  36, 193N, 1075W,  15,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, RIOD,  48, 193N, 1075W,  13,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, RIOD,  72, 193N, 1075W,   0,  65,  95,    ,            0,           72, 
EP, 13, 2021082218, RI, RIOL,  12, 193N, 1075W,  18,  20,  50,    ,            0,           12, 
EP, 13, 2021082218, RI, RIOL,  24, 193N, 1075W,  37,  25,  55,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOL,  24, 193N, 1075W,  21,  30,  60,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOL,  24, 193N, 1075W,   6,  35,  65,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOL,  24, 193N, 1075W,   3,  40,  70,    ,            0,           24, 
EP, 13, 2021082218, RI, RIOL,  36, 193N, 1075W,   2,  45,  75,    ,            0,           36, 
EP, 13, 2021082218, RI, RIOL,  48, 193N, 1075W,   0,  55,  85,    ,            0,           48, 
EP, 13, 2021082218, RI, RIOL,  72, 193N, 1075W,   1,  65,  95,    ,            0,           72, 
