AL, 03, 2021061306, RI, DTOP,  24, 199N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061306, RI, DTOP,  24, 199N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061306, RI, DTOP,  24, 199N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061306, RI, DTOP,  24, 199N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061306, RI, DTOP,  36, 199N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061306, RI, DTOP,  48, 199N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061306, RI, DTOP,  72, 199N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061306, RI, DTPE,  12, 199N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061306, RI, DTPE,  24, 199N,  945W,   0,  25,  45,    ,            0,           24, 
AL, 03, 2021061306, RI, DTPE,  24, 199N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061306, RI, DTPE,  24, 199N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061306, RI, DTPE,  24, 199N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061306, RI, DTPE,  36, 199N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061306, RI, DTPE,  48, 199N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061306, RI, DTPE,  72, 199N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061306, RI, EIOB,  12, 199N,  945W,   0,  20,  40,    ,            0,           12, 
AL, 03, 2021061306, RI, EIOB,  24, 199N,  945W,   1,  25,  45,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOB,  24, 199N,  945W,   0,  30,  50,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOB,  24, 199N,  945W,   0,  35,  55,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOB,  24, 199N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOB,  36, 199N,  945W,   0,  45,  65,    ,            0,           36, 
AL, 03, 2021061306, RI, EIOB,  48, 199N,  945W,   0,  55,  75,    ,            0,           48, 
AL, 03, 2021061306, RI, EIOB,  72, 199N,  945W,   0,  65,  85,    ,            0,           72, 
AL, 03, 2021061306, RI, EIOC,  12, 199N,  945W,   1,  20,  40,    ,            0,           12, 
AL, 03, 2021061306, RI, EIOC,  24, 199N,  945W,   5,  25,  45,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOC,  24, 199N,  945W,   2,  30,  50,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOC,  24, 199N,  945W,   1,  35,  55,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOC,  24, 199N,  945W,   0,  40,  60,    ,            0,           24, 
AL, 03, 2021061306, RI, EIOC,  36, 199N,  945W,   1,  45,  65,    ,            0,           36, 
AL, 03, 2021061306, RI, EIOC,  48, 199N,  945W,   2,  55,  75,    ,            0,           48, 
AL, 03, 2021061306, RI, EIOC,  72, 199N,  945W,   8,  65,  85,    ,            0,           72, 
